,ra_cvsq,ra_cvsp,d4pg_cvsq,d4pg_cvsp,mad4pg_cvsq,mad4pg_cvsp,mamo_cvsq,mamo_cvsp
0,232.8790554614460,194.44341931481100,151.86093212115200,171.30927378645500,144.9040380698050,163.4389393229740,126.14490230601700,178.94134990347100
1,226.26082790554800,195.87636115715100,167.37263819405000,181.92169781938800,160.02675305036700,172.31084791294700,169.465933231644,179.31012057935900
2,228.9287780344690,194.49270639175200,178.11102542414100,186.4965230465810,160.0303586577340,172.06588986410300,169.466713902868,179.49588595868400
3,223.28944839495900,194.5075188616650,171.89033410501900,190.20956966872600,160.03024967937900,172.01864526721400,169.46792369532500,179.69032268061600
4,229.47068188741100,193.95067449544900,194.18895992782400,199.190528909364,160.03438004425000,172.21979394357700,169.4705523490520,179.31665895814700
5,219.97402489358400,195.9184497876830,191.73959479135200,198.9832248716160,160.0306262483760,172.90826943846600,169.47084570726800,179.61040296040300
6,232.31084955363100,196.10635760817100,192.74792468322400,198.04408568226500,160.033240135123,172.47814216213100,169.4671150408070,179.856699570846
7,228.46491033282000,193.15722711431000,200.66038792290300,205.82554968857500,160.03063723050100,172.9030389386130,169.47210995384300,179.1820805972640
8,223.6138862548900,196.2710776858100,183.48853685951500,198.73551680252400,160.02930415457500,173.3194805848820,169.4663447341690,179.80314186964500
9,226.07921462000100,194.3064377733930,183.2633706500280,179.89484022210800,160.02881946197900,173.26821822318600,169.46828072389100,179.42499717382900
10,219.4300725105730,195.17837391180100,178.9156405462840,167.72607707980700,160.02710106461300,173.50985433118100,169.47242871812400,179.28794441747700
11,233.42773819441900,195.5269309158880,185.63150226629500,176.9986528882950,160.02969932754600,173.09874888449600,169.46954615782600,179.49581805090800
12,227.41870645851300,196.2778185252130,196.5017951244650,184.10267070359700,160.02730123202400,173.51553403447500,169.4702359483690,179.5295486180240
13,218.36730108347500,196.5039618425470,197.31415770328600,194.0597801234160,160.0282141995130,173.24740494099200,169.4700338117420,179.60053158308500
14,218.22431920659400,195.30761938192300,201.88931427956500,190.58329009346100,160.02694417492300,173.6409577336980,169.47127950771900,179.3975689041400
15,225.47066569789500,196.32016250734,206.82740223363500,189.82891191409000,160.02921692109400,173.3574441497610,169.46831063683200,179.6993815266440
16,222.10159836358700,199.0401189658700,204.27389798203400,192.611592481036,159.9909995933110,173.0109457260050,169.4679452996330,179.59981160020100
17,227.2763029649150,195.6061338728540,203.3033298423840,193.0941503471780,160.00007513348900,173.87979619547600,169.46906425220300,179.57428304068400
18,215.83043740337400,194.79126030965300,209.21040894656500,193.20298098209500,160.49051658335900,173.9308803546390,169.47078457756300,179.63202498563000
19,232.72915048875700,194.87975794332400,218.9283058080380,207.2941605730650,160.72103943560700,177.08862716898500,169.47339075900400,178.9580680633170
20,226.7919852142110,197.6890651732830,221.25442456246700,207.59747371599200,160.63374792700600,180.19514325068900,169.46933156467600,179.67370309402600
21,227.27036858103800,196.69466456785500,207.5741176167480,214.6776754070000,157.57052569393200,165.18002786413000,169.46857015122500,179.84374680480100
22,229.65291588569100,195.64364217428100,216.65637692921700,220.0041195907570,156.4640604361930,170.38242053365500,169.46648877598800,180.4623508362840
23,225.1688503819850,200.1184160715640,212.25487495137200,204.61339654769000,157.47130751770900,167.9372584375210,169.47019131297600,179.78101134139200
24,226.51924603967500,196.7131299438530,205.62749268880400,199.23800483517900,158.80414621632100,167.4620856808880,169.47076263834500,179.8493876630650
25,230.63019638412600,203.0533710773700,192.8842743762730,190.95986574610200,160.084336548215,167.73079332342200,169.4695757249600,180.04189225022300
26,222.84618989029600,198.50247209822900,207.69703350143300,191.67864068743100,165.22490688699300,168.2591479577070,169.4687684757340,179.8858978658180
27,228.0142562004220,198.15031097377000,205.6480628770110,190.82027375402800,165.35395982468900,168.0367192810020,169.46882672843300,179.98702840749000
28,221.54643095095700,199.7605123107690,213.43932850661900,195.0368276511460,159.1639086991740,164.2603477734010,169.46933793233100,179.68289092106700
29,227.23630517455500,197.42279102659200,213.11294501863800,203.22990649133000,157.71993537392200,162.11586878090100,169.471287947211,179.57034026917100
30,227.86064763769500,197.83670247567500,207.9088077011410,208.76824751001600,178.14584461621600,162.49244883941100,169.47581892436200,179.04599462438800
31,232.89713098533300,196.64054450663000,210.55098907387100,208.30389716787500,183.46087217026500,163.5289974632730,169.47177833772900,179.61469839132400
32,221.64017574546200,197.5080949194860,217.4575226488560,202.0804863153010,145.71240400746000,161.63363290007100,169.46821249270900,180.06827262167700
33,228.01408766022300,199.82516270052600,212.07071939091400,198.38489203488300,141.51412204305600,161.5738651879560,169.47017400042400,179.84005970752000
34,230.0267091447730,196.49211702540300,215.10455751467700,194.2866836849410,140.60978082492600,161.61655914821700,169.46933704264800,179.87117155213400
35,212.893324725464,198.93563957708200,212.0131432885880,191.74386447574300,140.13717464111400,161.79240061543700,169.46804715511000,180.04213107136700
36,220.54114727390000,198.31228224145800,207.2669601188730,193.22487788053700,138.9762242754490,161.81169574488400,169.46663837902400,180.04787200323200
37,235.5602073648080,198.842725243724,208.7194920036260,193.65564424764400,137.66370926584900,161.7489348077220,169.46929213493800,180.05969720877400
38,220.7442181925570,197.8824596257250,195.2413656057500,185.50063968364100,137.84337634026300,163.13718840161100,169.4682014963140,180.32958267642900
39,217.96191420568100,197.13205224961600,199.5131344160450,196.1043730771180,137.2904888670910,167.56506048611000,169.46899884494200,180.02421710219400
40,220.5169525131030,199.13620700700200,197.1393237683510,203.26986827596600,136.90114049113400,168.3390148305880,169.47050057975600,179.7144620798390
41,227.54609743228600,197.33633628643500,202.2257928353530,208.37571281600100,135.8486099727840,168.83690901563700,169.4687228616270,179.81568864238800
42,225.18938998068200,199.6367818607800,211.91868792013200,211.77651612015700,131.91444157033300,169.4224666002930,169.4719220460530,179.48745688107500
